English,Nepali
Money laundering,भ्रष्टाचार
Terrorist financing,बैंकिङ कसुर
Fraud / forgery,मनी लान्ड्रिङ
Corruption,सम्पत्ति शुद्धीकरण
Bribe,घुस
Banking offence,आतंकवादी
Tax evasion,कर छलि 
Drug trafficking,मानव बेचबिखन
Human trafficking,जालसाजी
Counterfeit currency,जालसाज
Blackmarket,लागुऔषध ओसारपसार
Gambling,नक्कली मुद्रा
Kumari Bank,कुमारी बैंक
Rastriya Banijya Bank,राष्ट्रिय वाणिज्य बैंक
Agriculture Development Bank,कृषि विकास बैंक
Nabil Bank,नबिल बैंक
Nepal Investment Mega Bank,नेपाल इन्भेष्टमेन्ट मेगा बैंक
Standard Chartered Bank Nepal,स्ट्याण्डर्ड चार्टर्ड बैंक नेपाल
Himalayan Bank,हिमालयन बैंक
Nepal SBI Bank,नेपाल एसबिआई बैंक
Everest Bank,एभरेष्ट बैंक
Prabhu Bank,प्रभु बैंक
Laxmi Sunrise Bank,लक्ष्मी सनराइज बैंक
Global IME Limited,ग्लोबल आइएमई लिमिटेड
Citizens Bank International,सिटिजन्स बैंक इन्टरनेसनल
Prime Commercial Bank,प्राइम कमर्सियल बैंक
NMB Bank Nepal,एनएमबि बैंक नेपाल
NIC Asia Bank,एनआईसी एशिया बैंक
Siddhartha Bank,सिद्धार्थ बैंक
Sanima Bank,सानिमा बैंक
Machhapuchchhre Bank,माछापुच्छ्रे बैंक
Nepal Bank Limited,नेपाल बैंक लिमिटेड
